Document_Number,Posting_Date,Fiscal_Year_Period,Company_Code,Store,Cost_Center,GL_Account,GL_Account_Name,Cost_Category,Cost_Subcategory,Amount_USD,Currency
ACD-100001,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,823.14,USD
ACD-100002,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,181.91,USD
ACD-100003,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,130.26,USD
ACD-100004,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,36.6,USD
ACD-100005,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,80.63,USD
ACD-100006,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,35.26,USD
ACD-100007,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,31.86,USD
ACD-100008,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,14.67,USD
ACD-100009,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,25.95,USD
ACD-100010,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,501.39,USD
ACD-100011,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,114.69,USD
ACD-100012,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,82.81,USD
ACD-100013,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,20.32,USD
ACD-100014,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,56.32,USD
ACD-100015,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,29.67,USD
ACD-100016,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,21.95,USD
ACD-100017,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,14.04,USD
ACD-100018,2025-01-01,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,24.03,USD
ACD-100019,2025-01-01,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,625.28,USD
ACD-100020,2025-01-01,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,137.72,USD
ACD-100021,2025-01-01,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,108.91,USD
ACD-100022,2025-01-01,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,33.74,USD
ACD-100023,2025-01-01,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,49.21,USD
ACD-100024,2025-01-01,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,18.87,USD
